1644,158
1613,179
1572,199
1552,215
1526,230
1480,230
1454,215
1378,215
1367,215
1301,204
1280,199
1219,199
1209,194
1147,204
1080,220
1045,251
1024,266
988,286
947,332
906,368
876,404
876,404
876,409
788,481
768,502
747,512
727,573
712,619
706,671
686,742
686,747
681,758
665,809
655,881
655,911
655,942
650,1014
645,1075
650,1101
681,1127
691,1142
701,1188
712,1209
727,1250
727,1250
722,1255
737,1270
753,1316
763,1357
778,1403
794,1444
799,1449
824,1490
829,1511
840,1542
850,1562
876,1618
881,1634
911,1670
917,1695
942,1741
957,1757
973,1793
993,1844
1004,1885
1050,1967
1060,1997
1070,2023
1070,2023
1091,2079
1096,2085
1116,2120
1116,2131
1137,2177
1142,2182
1142,2213
1142,2238
1147,2259
1152,2320
1152,2320
1173,2402
1173,2407
1193,2443
1198,2474
1203,2479
1209,2510
1219,2546
1224,2556
1255,2587
1270,2607
1270,2607
1316,2674
1331,2699
1352,2730
1383,2776
1393,2786
1413,2832
1413,2832
1465,2884
1480,2904
1516,2930
1547,2940
1572,2940
1603,2935
1618,2935
1670,2940
1721,2940
1741,2940
1767,2940
1772,2884
1803,2868
1808,2863
1839,2827
1875,2797
1890,2771
1931,2710
1967,2674
2059,2592
2069,2581
2141,2561
2172,2535
2197,2525
2233,2510
2248,2505
2300,2484
2341,2469
2443,2464
2448,2464
2479,2438
2494,2438
2561,2397
2607,2382
2648,2371
2674,2356
2710,2336
2725,2325
2776,2305
2812,2289
2863,2274
2909,2248
2940,2238
2940,2238
2868,2192
2848,2172
2807,2136
2786,2100
2766,2064
2735,2054
2704,2013
2663,1987
2622,1962
2576,1921
2566,1915
2510,1885
2489,1880
2464,1875
2407,1818
2382,1767
2382,1762
2356,1716
2346,1685
2341,1654
2320,1623
2310,1593
2289,1562
2289,1526
2259,1460
2259,1460
2254,1378
2254,1342
2254,1321
2279,1285
2300,1265
2305,1198
2305,1193
2305,1152
2310,1106
2325,1060
2325,1055
2315,1014
2305,978
2289,963
2289,927
2284,891
2279,850
2264,829
2248,778
2243,742
2228,722
2218,717
2207,686
2182,681
2151,671
2100,614
2079,609
2033,599
2008,599
1956,584
1936,573
1910,563
1895,553
1854,548
1839,532
1823,512
1818,450
1813,435
1803,379
1767,343
1762,327
1726,302
1731,266
1721,240
1721,204
1680,194
1680,174
1670,138
